BibTex ID,Date,Newspaper,Abstract
[@_milizia_1927],05/12/27,La Stampa,"prep for 'esposizione d'agricoltura', expected presence of live animals from PNs, instituted 'per la difesa della fauna e della flora'"
[@caprin_mondo_1927],25/03/28,Corriere della Sera,mountain people need to be preserved just like mountain animals
[@_i_1928],23/05/28,Corriere della Sera,Italian representative at the conference for bird protection talks about NPs
[@marescalchi_caccia_1928],20/08/28,Corriere della Sera,Marescalchi stresses role of parks in Italy in species preservation
[@marescalchi_il_1928],16/09/28,Corriere della Sera,peana for the park (and the role of the F. govmt in its creation)
[@_allevamento_1929],20/04/29,Corriere della Sera,reindeers
[@_renne_1929],20/04/29,La Stampa,on the commission's efforts in raising reindeers by Bardonecchia for acclimatation purposes
[@_lo_1929],27/04/29,Corriere della Sera,Calcante?
[@_prossime_1929],03/05/29,Corriere della Sera,law proposal by minister Martelli to modify park management as to clarify roles and take admin off from the Commission
[@marescalchi_il_1929],10/07/29,Corriere della Sera,"tourism would disturb ibex, but this is not the case for Abruzzo bear"
[@1930],24/02/30,La Stampa,preservation of alpine herbs in debate
[@delleani_i_1930],18/03/30,La Stampa,elegia della tutela garantita dal regime
[@quadrone_irrequieta_1930],29/06/30,La Stampa,brief mention of PNGP in description of Cogne as mining village
[@_caccia_1930],18/07/30,Corriere della Sera,hunt opening
[@_complesso_1930],15/08/30,La Stampa,"eccedenza di maschi giustifica caccia, apertura della stessa"
[@_caccia_1930-1],24/09/30,Corriere della Sera,hunt opening
[@g.l.d._1930_caccia],31/12/30,La Stampa,"fine delle cacce, gives account of last royal hunt by a member of German royal family"
[@_cacce_1931],04/06/31,Corriere della Sera,renewal of hunts
[@l.i.1931],14/09/31,La Stampa,hunting hut by Cogne
[@_fervore_1931],18/09/31,Corriere della Sera,talk about GP presented at AIPS meeting by Mattirolo
[@_tre_1931],24/09/31,Corriere della Sera,donation of ibex
[@quadrone_1932_cercansi],11/05/32,La Stampa,Swiss request for female ibex
[@_il_1932],10/09/32,Corriere della Sera,inauguration of mountain hut
[@bassi1932],10/09/32,La Stampa,royal visit to a hut
[@_milite_1932],25/10/32,Corriere della Sera,warden wounded in struggle with poachers
[@marescalchi_il_1932],24/11/32,Corriere della Sera,descritpion of park on its tenth anniversary
[@1933c],25/05/33,La Stampa,role of railroads in fostering mountain tourism among the popular classes
[@_acclimatazione_1933-1],08/06/33,Corriere della Sera,acclimatation
[@1933b],08/06/33,La Stampa,acclimatation
[@1933a],07/07/33,Corriere della Sera,camping
[@tomaselli_quelle_1933],19/08/33,Corriere della Sera,camping
[@tomaselli_vestibolo_1933],25/08/33,Corriere della Sera,hiking
[@balliano1933],26/09/33,La Stampa,road improvements around the park
[@_signora_1933],28/09/33,Corriere della Sera,an incidente occurred to a woman watching the hunts
[@_dalle_1933],28/10/33,Corriere della Sera,improvement of the road network
[@_acclimatazione_1933],04/11/33,Corriere della Sera,"acclimatation, calcante"
[@_amministrazione_1933],29/12/33,Corriere della Sera,transfer of powers
[@_i_1934],21/01/34,Corriere della Sera,rational and economic use of Alpine herbs for perfume production
[@gotta_inverno_1934],30/01/34,Corriere della Sera,romanticised view of cohabitation of ibex and mining
[@_1934_lattivita],16/02/34,La Stampa,transfer of consevration to MNF
[@_istituzione_1934],16/02/34,Corriere della Sera,special classes for Militi in parks
[@_due_1934],23/02/34,Corriere della Sera,ibex killed by avalanche
[@_abnegazione_1934],13/06/34,Corriere della Sera,warden saves colleague after mountaineering accident
[@bottazzi_mostra_1934],14/09/34,Corriere della Sera,the presence of the park at the mostra della montagna
[@_apertura_1934],14/10/34,Corriere della Sera,hunt opened
[@_nuovo_1934],16/10/34,Corriere della Sera,new bivouac
[@_profumi_1935],23/04/35,Corriere della Sera,"parks as supportive of reforestation, for production aims"
[@_il_1935],31/07/35,Corriere della Sera,extremely brief mention of the park (aspra solitudine dei ghiacciai)
[@negro_ritorno_1935],08/08/35,Corriere della Sera,mention of the park as tourism and hunting destination
[@burzio_1936_parchi],25/08/36,La Stampa,a strange piece on an idea of reform that goes well beyond NPs as understood asking for less spatial and temporal impact of human activities thanks to the role of the artificial
[@_somiglianza_1936],03/09/36,La Stampa,article on PNS in comparison with PNGP
[@1936],04/10/36,La Stampa,mobility and road improvements
[@_quattro_1937],24/06/37,Corriere della Sera,La sciagura del Gran Paradiso - start of a series on the topic lasting until June 27. In general 1937 seems mainly occupied by news on climbing and accidents
[@gallaratiscotti1937],20/12/37,Corriere della Sera,"proposal for Adamello-Brenta ""Non ultima gloria del regime fascista íÂ di aver infatti salvata coi parchi specie biologiche di raro interesse"""
[@ponti_eccezionale_1938],23/07/38,Corriere della Sera,book review on a study about VdA:expanding piano regolatore to a region
[@_grande_1938],27/08/38,Corriere della Sera,avalanche no victims
[@_prodigi_1939],28/06/39,Corriere della Sera,military maneuvers
[@crepas_1939_passata],11/07/39,La Stampa,a hike in the park
[@crepas_1939_duello],13/07/39,La Stampa,description of struggle between ibex
[@_1942_confessioni],10/07/42,La Stampa,review of a book on alpinism with polemic about PNGP
[@b[arisoni]_bisogna_1944],12/02/44,Corriere della Sera,plea for saving the ibex
[@burzio_rivedrem_1947],15/04/47,La Stampa,report of meeting with Videsott
[@_1947_ripopolare],02/07/47,La Stampa,istituzione del MIPN
[@silvestri_gli_1947],23/10/47,Corriere della Sera,new decree on PNGP
[@_ha_1948],03/08/48,Corriere della Sera,more ibex now in CH than on GP
[@savinio_li_1948],17/10/48,Corriere della Sera,renaissance of the park
[@grazzini_il_1949],22/11/49,Corriere della Sera,former poacher works as warden
[@_difendere_1949],28/12/49,Corriere della Sera,creation of MIPN
[@caprin_men_1950],08/08/50,Corriere della Sera,NPCH more rigorous than PNGP
[@corradi_pelle_1950],15/11/50,Corriere della Sera,report on a ibex hunt early after end of the war
